School_Name,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
HORIZONS ELEMENTARY,547.0,93.4,3.3,1.3,1.8,0.2,0.0,1.8,2.0,2.0,2.0,1.6,2.4,511.0,18.0,7.0,10.0,1.0,0.0,10.0,11.0,11.0,11.0,9.0,13.0,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"4601 67TH AVE SE
LACEY
(46.986913, -122.823763)"
PRESCOTT ELEMENTARY SCHOOL,151.0,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRESCOTT SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y,"PO BOX 65
PRESCOTT"
ADNA ELEMENTARY SCHOOL,271.0,94.5,4.8,0.7,3.3,0.0,0.7,2.6,2.6,3.0,3.0,1.8,4.8,256.0,13.0,2.0,9.0,0.0,2.0,7.0,7.0,8.0,8.0,5.0,13.0,ADNA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,Y,N,"P.O. BOX 28
ADNA"
EVERGREEN CHRISTIAN PRIVATE SCHOOL,85.0,37.6,28.2,0.0,27.1,1.2,0.0,28.2,28.2,28.2,28.2,28.2,28.2,32.0,24.0,0.0,23.0,1.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-7,Y,Y,"3405 S 336TH ST
FEDERAL WAY
(47.300657, -122.288664)"
FINLEY ELEMENTARY,382.0,93.5,2.6,1.3,1.3,0.0,0.0,2.1,2.1,2.4,2.1,1.8,2.4,357.0,10.0,5.0,5.0,0.0,0.0,8.0,8.0,9.0,8.0,7.0,9.0,FINLEY SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N,"213504 E COUGAR RD
KENNEWICK
(46.143041, -119.052312)"
EDWIN R OPSTAD ELEMENTARY,551.0,86.2,5.4,0.9,4.5,0.0,0.0,2.4,2.4,3.6,2.9,4.0,4.7,475.0,30.0,5.0,25.0,0.0,0.0,13.0,13.0,20.0,16.0,22.0,26.0,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"1345 STILLSON AVE SE
NORTH BEND
(47.483659, -121.763715)"
FORT STEVENS ELEMENTARY,606.0,84.3,4.3,0.7,3.1,0.5,0.0,3.5,3.5,3.0,3.1,2.5,3.5,511.0,26.0,4.0,19.0,3.0,0.0,21.0,21.0,18.0,19.0,15.0,21.0,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"PO BOX 476
YELM"
BRIDGEPORT ELEMENTARY,362.0,73.2,1.1,1.1,0.0,0.0,0.0,0.6,0.6,0.3,0.3,0.0,0.6,265.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,BRIDGEPORT SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-5,Y,N,"1400 TACOMA AVE
BRIDGEPORT
(48.006278, -119.674697)"
AMBOY MIDDLE SCHOOL,580.0,86.4,9.3,1.4,7.9,0.5,0.0,5.7,5.3,4.0,4.3,6.6,5.3,501.0,54.0,8.0,46.0,3.0,0.0,33.0,31.0,23.0,25.0,38.0,31.0,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y,"22115 NE CHELATCHIE RD
AMBOY
(45.913691, -122.445364)"
MERIWETHER ELEMENTARY SCHOOL,337.0,93.2,2.1,2.1,0.3,0.3,0.0,1.8,2.1,1.8,1.8,1.5,1.8,314.0,7.0,7.0,1.0,1.0,0.0,6.0,7.0,6.0,6.0,5.0,6.0,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N,"10285 COMPASS AVE
JBLM LEWIS MCCHORD"
DRY CREEK ELEMENTARY,366.0,93.7,3.8,1.9,1.9,0.0,0.0,1.9,1.9,2.2,2.5,2.2,2.2,343.0,14.0,7.0,7.0,0.0,0.0,7.0,7.0,8.0,9.0,8.0,8.0,PORT ANGELES SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y,"25 RIFE RD
PORT ANGELES
(48.11316, -123.536394)"
GREENWOOD ELEMENTARY SCHOOL,349.0,83.7,7.4,2.0,6.6,0.0,0.0,3.2,3.2,4.0,3.7,5.4,8.0,292.0,26.0,7.0,23.0,0.0,0.0,11.0,11.0,14.0,13.0,19.0,28.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"144 NW 80 ST
SEATTLE
(47.686934, -122.359311)"
ANACORTES HIGH SCHOOL,780.0,80.9,12.8,2.2,10.4,0.3,0.4,5.6,4.6,5.3,5.1,5.6,9.5,631.0,100.0,17.0,81.0,2.0,3.0,44.0,36.0,41.0,40.0,44.0,74.0,ANACORTES SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"1600 20TH STREET
ANACORTES
(48.50613, -122.621294)"
HIGHLANDS HIGH SCHOOL (OMAK ALTERNATIVE HIGH SCHOOL),19.0,78.9,10.5,0.0,10.5,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,OMAK SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N,"P O BOX 833
OMAK"
EVERGREEN ELEMENTARY,254.0,95.3,4.7,0.4,3.9,0.4,0.0,2.8,2.8,3.9,2.8,2.8,4.3,242.0,12.0,1.0,10.0,1.0,0.0,7.0,7.0,10.0,7.0,7.0,11.0,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"1820 KEY PENINSULA HWY KPS
LAKEBAY
(47.240363, -122.770687)"
EAGLE PARK SCHOOL,91.0,92.3,7.7,3.3,3.3,0.0,1.1,2.2,2.2,2.2,2.2,2.2,5.5,84.0,7.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,3-12,N,Y,"1025 W SPOFFORD AVE
SPOKANE
(47.672209, -117.427437)"
ORIENT ELEM,30.0,60.0,23.3,6.7,6.7,3.3,6.7,10.0,10.0,10.0,10.0,10.0,23.3,18.0,7.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,7.0,ORIENT SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y,"PO BOX 1419
ORIENT"
SOLVE FOR X SCHOOL,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"100 W HARRISON (MAIL: 3203 NW 64TH ST #1 SEATTLE WA 98107-2617)
SEATTLE"
TEKOA ELEMENTARY SCHOOL,99.0,76.8,4.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,76.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,2.0,2.0,2.0,2.0,TEKOA SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"200 N BROADWAY
TEKOA"
CASCADIA ELEMENTARY,461.0,90.0,7.6,1.1,6.7,0.0,0.0,5.6,5.6,5.6,5.4,5.0,6.9,415.0,35.0,5.0,31.0,0.0,0.0,26.0,26.0,26.0,25.0,23.0,32.0,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-6,Y,Y,"6175 CHURCH RD
FERNDALE
(48.865671, -122.616657)"
ASOTIN ELEMENTARY,659.0,91.8,7.0,2.4,4.4,0.2,0.0,5.2,4.7,4.2,4.1,3.5,5.6,605.0,46.0,16.0,29.0,1.0,0.0,34.0,31.0,28.0,27.0,23.0,37.0,ASOTIN-ANATONE SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y,"PO BOX 489
ASOTIN"
ALKI ELEMENTARY SCHOOL,386.0,87.8,8.0,2.8,6.0,0.0,0.3,2.6,2.6,3.6,3.4,5.2,6.0,339.0,31.0,11.0,23.0,0.0,1.0,10.0,10.0,14.0,13.0,20.0,23.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"3010 59 AV SW
SEATTLE
(47.577289, -122.408076)"
HULAN L WHITSON ELEM,387.0,80.9,9.3,2.8,5.4,0.8,0.3,5.7,5.7,5.4,7.2,7.0,6.7,313.0,36.0,11.0,21.0,3.0,1.0,22.0,22.0,21.0,28.0,27.0,26.0,WHITE SALMON VALLEY SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -4,Y,N,"PO BOX 1279
WHITE SALMON"
ROCK CREEK ELEMENTARY,1001.0,93.3,6.0,0.6,5.1,0.4,0.0,4.2,4.4,4.5,4.5,4.0,5.2,934.0,60.0,6.0,51.0,4.0,0.0,42.0,44.0,45.0,45.0,40.0,52.0,TAHOMA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"25700 MAPLE VALLEY HWY SE
MAPLE VALLEY"
COTTAGE LAKE ELEMENTARY,351.0,90.0,7.1,0.3,7.1,0.0,0.0,4.8,4.8,6.0,6.0,5.4,7.1,316.0,25.0,1.0,25.0,0.0,0.0,17.0,17.0,21.0,21.0,19.0,25.0,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,"15940 AVONDALE RD NE
WOODINVILLE
(47.744242, -122.081306)"
GRASS VALLEY ELEMENTARY SCHOOL,580.0,90.2,9.0,2.6,6.4,0.5,0.0,6.6,6.2,6.9,7.2,6.6,7.1,523.0,52.0,15.0,37.0,3.0,0.0,38.0,36.0,40.0,42.0,38.0,41.0,CAMAS SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"3000 NE GRASS VALLEY DR
CAMAS
(45.611819, -122.440878)"
BADGER MOUNTAIN ELEMENTARY,601.0,95.8,3.5,0.5,2.8,0.2,0.0,2.5,2.5,2.0,2.2,2.2,2.3,576.0,21.0,3.0,17.0,1.0,0.0,15.0,15.0,12.0,13.0,13.0,14.0,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"1515 ELEMENTARY STREET
RICHLAND
(46.232575, -119.270519)"
BARGE-LINCOLN ELEMENTARY SCHOOL,612.0,97.9,0.5,0.5,0.0,0.0,0.0,0.3,0.2,0.0,0.2,0.2,0.0,599.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,"219 E I ST
YAKIMA
(46.614328, -120.508613)"
CAMPBELL HILL ELEMENTARY SCHOOL,487.0,95.1,2.1,1.0,0.8,0.2,0.0,1.2,1.2,1.2,1.2,1.4,1.6,463.0,10.0,5.0,4.0,1.0,0.0,6.0,6.0,6.0,6.0,7.0,8.0,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"6418 S 124TH ST
SEATTLE
(47.492084, -122.253059)"
FUTURUS HIGH SCHOOL,77.0,71.4,5.2,0.0,5.2,0.0,0.0,3.9,3.9,1.3,1.3,3.9,1.3,55.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,CENTRALIA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N,"906 JOHNSON ROAD
CENTRALIA
(46.727114, -122.981882)"
NORTH BEACH SENIOR HIGH SCHOOL,206.0,65.5,5.3,1.0,4.4,0.0,0.0,4.4,4.4,3.9,2.9,2.4,2.9,135.0,11.0,2.0,9.0,0.0,0.0,9.0,9.0,8.0,6.0,5.0,6.0,NORTH BEACH SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N,"P.O. BOX 969
OCEAN SHORES"
COLUMBIA HEIGHTS ELEMENTARY,377.0,95.8,3.2,0.5,2.1,0.0,0.5,2.7,2.7,2.1,2.1,1.3,1.9,361.0,12.0,2.0,8.0,0.0,2.0,10.0,10.0,8.0,8.0,5.0,7.0,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"2820 PARKVIEW DRIVE
LONGVIEW
(46.155922, -122.940592)"
BIG LEAF MONTESSORI,14.0,42.9,57.1,0.0,57.1,0.0,0.0,50.0,57.1,57.1,57.1,50.0,50.0,6.0,8.0,0.0,8.0,0.0,0.0,7.0,8.0,8.0,8.0,7.0,7.0,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,PK-K,Y,N,"PO BOX 1911
CASTLE ROCK"
